# Reference library (divisor): wt
# Comparison library (numerator): mut
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1 raw countings	mut_R2 raw countings	wt_R1 raw countings	wt_R2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_003901.1	Protein Homology	CDS	12748	13155	.	+	0	ID=cds-WP_011031966.1;Parent=gene-MM_RS00050;Dbxref=GenBank:WP_011031966.1,GeneID:1478353;Name=WP_011031966.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412933.1;locus_tag=MM_RS00050;product=DUF1699 family protein;protein_id=WP_011031966.1;transl_table=11	2201.6500000000005	2803.861111111113	1161.2261904761908	1482.2916666666683	1804.56786015923	0.0846865918914407	0.154086989605136	0.549602481743975	0.582592056263745	0.796211388371408
sense	NC_003901.1	GeneMarkS-2+	CDS	13767	13943	.	+	0	ID=cds-WP_015410796.1;Parent=gene-MM_RS18145;Dbxref=GenBank:WP_015410796.1,GeneID:43445777;Name=WP_015410796.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18145;product=molecular chaperone DnaJ;protein_id=WP_015410796.1;transl_table=11	8.642857142857142	13.0	1.0	6.0	6.05213774811344	0.245006695205278	0.284028951509059	0.862611694700647	0.388350998277873	NA
sense	NC_003901.1	Protein Homology	CDS	14436	14801	.	+	0	ID=cds-WP_011031967.1;Parent=gene-MM_RS00055;Dbxref=GenBank:WP_011031967.1,GeneID:1478354;Name=WP_011031967.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031967.1;locus_tag=MM_RS00055;product=DUF1428 domain-containing protein;protein_id=WP_011031967.1;transl_table=11	14.0	24.0	9.0	16.0	14.8819658375636	-0.0991553824125319	0.320204200489853	-0.309662965885028	0.756817268246608	NA
sense	NC_003901.1	Protein Homology	CDS	15146	15637	.	+	0	ID=cds-WP_011031968.1;Parent=gene-MM_RS00060;Dbxref=GenBank:WP_011031968.1,GeneID:1478355;Name=WP_011031968.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031968.1;locus_tag=MM_RS00060;product=hypothetical protein;protein_id=WP_011031968.1;transl_table=11	115.5	168.0	80.0	122.0	117.788660563736	-0.274244591106596	0.230035723610189	-1.19218261756301	0.233189647641414	0.490508180675535
sense	NC_003901.1	Protein Homology	CDS	15934	16548	.	+	0	ID=cds-WP_226987774.1;Parent=gene-MM_RS00065;Dbxref=GenBank:WP_226987774.1,GeneID:24771896;Name=WP_226987774.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF013424.5;locus_tag=MM_RS00065;product=undecaprenyl diphosphate synthase family protein;protein_id=WP_226987774.1;transl_table=11	64.64285714285714	103.22619047619048	38.0	72.07142857142857	65.5566115876743	-0.145124420004967	0.268236001412532	-0.541032595329269	0.588485116143692	0.801500706778388
sense	NC_003901.1	Protein Homology	CDS	16763	17350	.	-	0	ID=cds-WP_015410800.1;Parent=gene-MM_RS00070;Dbxref=GenBank:WP_015410800.1,GeneID:1478357;Name=WP_015410800.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410800.1;locus_tag=MM_RS00070;product=class I SAM-dependent methyltransferase;protein_id=WP_015410800.1;transl_table=11	49.19444444444444	39.44444444444444	33.22222222222222	31.422222222222224	38.8359263308692	-0.236378423737453	0.304890741634884	-0.775288952593133	0.438168935828159	NA
sense	NC_003901.1	Protein Homology	CDS	17606	17794	.	+	0	ID=cds-WP_015410801.1;Parent=gene-MM_RS00075;Dbxref=GenBank:WP_015410801.1,GeneID:24771897;Name=WP_015410801.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410801.1;locus_tag=MM_RS00075;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410801.1;transl_table=11	570.5	800.5333333333333	187.78333333333333	351.9	424.110570500809	0.510778608783369	0.176382220056875	2.8958622281694	0.00378118363786046	0.0292337788171818
sense	NC_003901.1	Protein Homology	CDS	18338	18520	.	+	0	ID=cds-WP_015410803.1;Parent=gene-MM_RS00080;Dbxref=GenBank:WP_015410803.1,GeneID:24771898;Name=WP_015410803.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011307332.1;locus_tag=MM_RS00080;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410803.1;transl_table=11	365.66666666666663	433.3333333333334	120.7	150.66666666666669	239.473367782558	0.651769326875277	0.202063492247758	3.22556697216792	0.00125723417308133	0.0125593805537712
sense	NC_003901.1	Protein Homology	CDS	18763	19098	.	+	0	ID=cds-WP_080503005.1;Parent=gene-MM_RS17630;Dbxref=GenBank:WP_080503005.1,GeneID:31474366;Name=WP_080503005.1;Ontology_term=GO:0006413,GO:0003743;gbkey=CDS;gene=eif1A;go_function=translation initiation factor activity|0003743||IEA;go_process=translational initiation|0006413||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015324693.1;locus_tag=MM_RS17630;product=translation initiation factor eIF-1A;protein_id=WP_080503005.1;transl_table=11	46.0	74.38095238095238	29.833333333333332	30.833333333333332	42.5858202031716	0.0774076433861959	0.295489403486373	0.261964193886113	0.793349047550057	NA
sense	NC_003901.1	Protein Homology	CDS	19760	20581	.	-	0	ID=cds-WP_011031972.1;Parent=gene-MM_RS00090;Dbxref=GenBank:WP_011031972.1,GeneID:1478359;Name=WP_011031972.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031972.1;locus_tag=MM_RS00090;product=class I SAM-dependent methyltransferase;protein_id=WP_011031972.1;transl_table=11	226.75	399.0	104.0	186.16666666666666	206.038107794228	0.259648522197162	0.21072596004727	1.23216200860548	0.217888571841518	0.474458485650407
sense	NC_003901.1	Protein Homology	CDS	21940	22137	.	+	0	ID=cds-WP_015410804.1;Parent=gene-MM_RS00095;Dbxref=GenBank:WP_015410804.1,GeneID:24771899;Name=WP_015410804.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410804.1;locus_tag=MM_RS00095;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410804.1;transl_table=11	144.33333333333334	201.08333333333331	86.25	144.0	137.498933883946	-0.186333718683292	0.221004694417716	-0.843121089233998	0.399160725196432	0.658786215751977
sense	NC_003901.1	Protein Homology	CDS	22682	23977	.	-	0	ID=cds-WP_011031974.1;Parent=gene-MM_RS00105;Dbxref=GenBank:WP_011031974.1,GeneID:1478361;Name=WP_011031974.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031974.1;locus_tag=MM_RS00105;product=ATP-binding protein;protein_id=WP_011031974.1;transl_table=11	759.8333333333333	856.0833333333333	536.0	609.3333333333333	686.823029278164	-0.308226508386784	0.182304028165048	-1.69072790924693	0.0908887813432011	0.277495887790905
sense	NC_003901.1	Protein Homology	CDS	24297	25382	.	-	0	ID=cds-WP_015410806.1;Parent=gene-MM_RS00110;Dbxref=GenBank:WP_015410806.1,GeneID:1478362;Name=WP_015410806.1;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410806.1;locus_tag=MM_RS00110;product=HEAT repeat domain-containing protein;protein_id=WP_015410806.1;transl_table=11	70.17619047619048	59.91666666666667	32.25	42.0	49.2724446261067	0.0184191033981372	0.290058672744984	0.0635013020773595	0.949367322430647	0.978656314292869
sense	NC_003901.1	Protein Homology	CDS	26001	26186	.	+	0	ID=cds-WP_015410807.1;Parent=gene-MM_RS00115;Dbxref=GenBank:WP_015410807.1,GeneID:1478363;Name=WP_015410807.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410807.1;locus_tag=MM_RS00115;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410807.1;transl_table=11	64.33333333333334	78.44999999999999	53.36666666666667	78.78333333333333	69.3925943534247	-0.548691367064309	0.262949560827009	-2.08667915374571	0.0369171468791354	0.15051633376949
sense	NC_003901.1	Protein Homology	CDS	26685	26957	.	+	0	ID=cds-WP_011031977.1;Parent=gene-MM_RS00120;Dbxref=GenBank:WP_011031977.1,GeneID:1478364;Name=WP_011031977.1;Ontology_term=GO:0110001;gbkey=CDS;go_component=toxin-antitoxin complex|0110001||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031977.1;locus_tag=MM_RS00120;product=type II toxin-antitoxin system HicB family antitoxin;protein_id=WP_011031977.1;transl_table=11	462.325	596.8333333333334	262.0	342.5	395.888234002882	-0.0146245326851311	0.178364057129807	-0.0819925994085674	0.934652598457945	0.970814636369805
sense	NC_003901.1	Protein Homology	CDS	26958	27182	.	+	0	ID=cds-WP_011031978.1;Parent=gene-MM_RS00125;Dbxref=GenBank:WP_011031978.1,GeneID:1478365;Name=WP_011031978.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031986.1;locus_tag=MM_RS00125;product=type II toxin-antitoxin system HicA family toxin;protein_id=WP_011031978.1;transl_table=11	13.5	14.833333333333334	11.5	8.5	12.5604454340497	-0.142573024596679	0.316309584952681	-0.450738869067174	0.65217776474331	NA
sense	NC_003901.1	Protein Homology	CDS	27390	27710	.	+	0	ID=cds-WP_226987653.1;Parent=gene-MM_RS00130;Dbxref=GenBank:WP_226987653.1,GeneID:1478366;Name=WP_226987653.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022118.1;locus_tag=MM_RS00130;product=hypothetical protein;protein_id=WP_226987653.1;transl_table=11	122.0	121.05882352941177	56.5	100.5	95.710317100244	-0.101952695496609	0.249321494430899	-0.408920601608482	0.682597929698066	0.853834845797022
sense	NC_003901.1	Protein Homology	CDS	27707	28066	.	+	0	ID=cds-WP_011031980.1;Parent=gene-MM_RS00135;Dbxref=GenBank:WP_011031980.1,GeneID:1478367;Name=WP_011031980.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031980.1;locus_tag=MM_RS00135;product=toxin-antitoxin system TumE family protein;protein_id=WP_011031980.1;transl_table=11	37.25	64.0	22.25	37.5	37.5471202769574	-0.0435824409533919	0.299181441297653	-0.145672274203774	0.884180109831907	NA
sense	NC_003901.1	GeneMarkS-2+	CDS	28373	28522	.	-	0	ID=cds-WP_226987654.1;Parent=gene-MM_RS19055;Dbxref=GenBank:WP_226987654.1,GeneID:68225789;Name=WP_226987654.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS19055;product=hypothetical protein;protein_id=WP_226987654.1;transl_table=11	37.7	56.1	24.5	44.0	38.8916865053998	-0.227369932568373	0.2964511872008	-0.766972582283385	0.44309781713948	NA
sense	NC_003901.1	Protein Homology	CDS	28927	29472	.	-	0	ID=cds-WP_011031981.1;Parent=gene-MM_RS00145;Dbxref=GenBank:WP_011031981.1,GeneID:1478368;Name=WP_011031981.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031981.1;locus_tag=MM_RS00145;product=DUF6398 domain-containing protein;protein_id=WP_011031981.1;transl_table=11	61.0	81.33333333333333	25.333333333333336	63.0	53.354955699901	-0.0475791977819681	0.283889148031598	-0.167597803973375	0.866899698939042	0.940580407890824
sense	NC_003901.1	Protein Homology	CDS	29820	30167	.	-	0	ID=cds-WP_011031982.1;Parent=gene-MM_RS00150;Dbxref=GenBank:WP_011031982.1,GeneID:1478369;Name=WP_011031982.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031982.1;locus_tag=MM_RS00150;product=hypothetical protein;protein_id=WP_011031982.1;transl_table=11	53.75	70.5	25.0	39.75	43.9777215792432	0.0937461058239926	0.289846680675227	0.32343342903083	0.746367016131773	NA
sense	NC_003901.1	Protein Homology	CDS	30530	33127	.	+	0	ID=cds-WP_011031983.1;Parent=gene-MM_RS00155;Dbxref=GenBank:WP_011031983.1,GeneID:1478370;Name=WP_011031983.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: protein motif:HMM:NF024642.5;locus_tag=MM_RS00155;product=UvrD-helicase domain-containing protein;protein_id=WP_011031983.1;transl_table=11	237.73333333333335	254.0	118.33333333333334	205.76154401154403	196.137014520586	-0.148461888212713	0.209251432760709	-0.709490426201705	0.478020190530756	0.717400461472849
sense	NC_003901.1	GeneMarkS-2+	CDS	33708	34109	.	+	0	ID=cds-WP_011031984.1;Parent=gene-MM_RS00160;Dbxref=GenBank:WP_011031984.1,GeneID:1478371;Name=WP_011031984.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00160;product=hypothetical protein;protein_id=WP_011031984.1;transl_table=11	32.14285714285714	38.1	22.0	24.59090909090909	28.828647414913	-0.159188171278554	0.310450105070717	-0.512765718801394	0.608115212472105	NA
sense	NC_003901.1	Protein Homology	CDS	34526	35647	.	-	0	ID=cds-WP_011031985.1;Parent=gene-MM_RS00165;Dbxref=GenBank:WP_011031985.1,GeneID:1478372;Name=WP_011031985.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF024579.5;locus_tag=MM_RS00165;product=tetratricopeptide repeat protein;protein_id=WP_011031985.1;transl_table=11	237.5	293.34453781512605	144.5	246.47619047619048	223.818629940623	-0.305792261027033	0.197046522437548	-1.55187849673395	0.120691298997122	0.33070572909056
sense	NC_003901.1	Protein Homology	CDS	36332	36604	.	+	0	ID=cds-WP_011031977.1-2;Parent=gene-MM_RS00170;Dbxref=GenBank:WP_011031977.1,GeneID:1478373;Name=WP_011031977.1;Ontology_term=GO:0110001;gbkey=CDS;go_component=toxin-antitoxin complex|0110001||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031977.1;locus_tag=MM_RS00170;product=type II toxin-antitoxin system HicB family antitoxin;protein_id=WP_011031977.1;transl_table=11	454.325	594.8333333333334	258.5	341.0	391.903556974274	-0.0158138400334184	0.177803007003792	-0.088940228289171	0.929129412666309	0.96913498479403
sense	NC_003901.1	Protein Homology	CDS	36605	36829	.	+	0	ID=cds-WP_011031986.1;Parent=gene-MM_RS00175;Dbxref=GenBank:WP_011031986.1,GeneID:1478374;Name=WP_011031986.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031986.1;locus_tag=MM_RS00175;product=type II toxin-antitoxin system HicA family toxin;protein_id=WP_011031986.1;transl_table=11	4.5	14.333333333333334	4.0	4.0	5.84716317565794	0.0649110961380482	0.281200331043872	0.230835774257752	0.817442387828294	NA
sense	NC_003901.1	Protein Homology	CDS	36987	37334	.	-	0	ID=cds-WP_226987655.1;Parent=gene-MM_RS00180;Dbxref=GenBank:WP_226987655.1,GeneID:1478375;Name=WP_226987655.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031982.1;locus_tag=MM_RS00180;product=hypothetical protein;protein_id=WP_226987655.1;transl_table=11	8.25	25.0	4.0	15.583333333333334	11.6639255997267	-0.0229238330544521	0.31249605216348	-0.0733571925012981	0.941521881209364	NA
sense	NC_003901.1	GeneMarkS-2+	CDS	37836	38918	.	-	0	ID=cds-WP_048045827.1;Parent=gene-MM_RS00185;Dbxref=GenBank:WP_048045827.1,GeneID:1478376;Name=WP_048045827.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00185;product=hypothetical protein;protein_id=WP_048045827.1;transl_table=11	92.19548872180451	89.76666666666667	54.39285714285714	74.30952380952381	76.493550651075	-0.225592875600528	0.262221883635578	-0.860312924584298	0.389616570264088	0.650928373423967
sense	NC_003901.1	GeneMarkS-2+	CDS	39205	42021	.	-	0	ID=cds-WP_048045828.1;Parent=gene-MM_RS00190;Dbxref=GenBank:WP_048045828.1,GeneID:1478377;Name=WP_048045828.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00190;product=HEAT repeat domain-containing protein;protein_id=WP_048045828.1;transl_table=11	142.33333333333331	168.60833333333335	72.58333333333333	126.28333333333333	121.736572594268	-0.118844505804152	0.22959129743347	-0.517635063404746	0.604712912892921	0.811983012172346
sense	NC_003901.1	GeneMarkS-2+	CDS	42333	44348	.	+	0	ID=cds-WP_011031990.1;Parent=gene-MM_RS00195;Dbxref=GenBank:WP_011031990.1,GeneID:1478378;Name=WP_011031990.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS00195;product=HEPN domain-containing protein;protein_id=WP_011031990.1;transl_table=11	272.4583333333333	384.06666666666666	146.64444444444447	327.9333333333333	268.813928982636	-0.265736495837086	0.202324978260636	-1.31341418208267	0.189043421204027	0.43535236846846
sense	NC_003901.1	Protein Homology	CDS	44603	45787	.	-	0	ID=cds-WP_011031991.1;Parent=gene-MM_RS00200;Dbxref=GenBank:WP_011031991.1,GeneID:1478379;Name=WP_011031991.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410816.1;locus_tag=MM_RS00200;product=argininosuccinate synthase;protein_id=WP_011031991.1;transl_table=11	667.5	882.5	430.5	639.0	634.944282638152	-0.256999580191027	0.159343620647525	-1.61286394238224	0.106774070456385	0.308234580751451
sense	NC_003901.1	Protein Homology	CDS	46169	49390	.	-	0	ID=cds-WP_011031992.1;Parent=gene-MM_RS00205;Dbxref=GenBank:WP_011031992.1,GeneID:1478380;Name=WP_011031992.1;Ontology_term=GO:0008152,GO:0005524,GO:0046872;gbkey=CDS;gene=carB;go_function=ATP binding|0005524||IEA,metal ion binding|0046872||IEA;go_process=metabolic process|0008152||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410817.1;locus_tag=MM_RS00205;product=carbamoyl-phosphate synthase large subunit;protein_id=WP_011031992.1;transl_table=11	1121.9166666666667	1680.5	443.7	705.8333333333334	885.697665851381	0.441116616104872	0.15530881383166	2.84025487814876	0.00450775014714313	0.0337564892895167
sense	NC_003901.1	Protein Homology	CDS	49390	50496	.	-	0	ID=cds-WP_048040213.1;Parent=gene-MM_RS00210;Dbxref=GenBank:WP_048040213.1,GeneID:1478381;Name=WP_048040213.1;Ontology_term=GO:0006207,GO:0006541,GO:0004088;gbkey=CDS;gene=carA;go_function=carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|0004088||IEA;go_process='de novo' pyrimidine nucleobase biosynthetic process|0006207||IEA,glutamine metabolic process|0006541||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011022130.1;locus_tag=MM_RS00210;product=glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit;protein_id=WP_048040213.1;transl_table=11	1927.25	3070.5	1008.625	1478.625	1723.88096159872	0.162875795647954	0.151879274615595	1.07240303892806	0.283539043592856	0.540136303882328
sense	NC_003901.1	Protein Homology	CDS	51425	52777	.	+	0	ID=cds-WP_011031994.1;Parent=gene-MM_RS00215;Dbxref=GenBank:WP_011031994.1,GeneID:1478382;Name=WP_011031994.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031994.1;locus_tag=MM_RS00215;product=quaternary amine ABC transporter ATP-binding protein;protein_id=WP_011031994.1;transl_table=11	77.61666666666667	124.0	35.14285714285714	47.65	64.1681602223767	0.345440521218738	0.270347969852459	1.27776258651863	0.201333149928156	0.45299958733835
sense	NC_003901.1	Protein Homology	CDS	52774	53604	.	+	0	ID=cds-WP_011031995.1;Parent=gene-MM_RS00220;Dbxref=GenBank:WP_011031995.1,GeneID:1478383;Name=WP_011031995.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031995.1;locus_tag=MM_RS00220;product=ABC transporter permease;protein_id=WP_011031995.1;transl_table=11	32.83333333333333	39.5	10.125	21.75	23.5866434475263	0.245469151815078	0.316432657676903	0.775738994885024	0.437903110550358	NA
sense	NC_003901.1	Protein Homology	CDS	53778	54698	.	+	0	ID=cds-WP_011031996.1;Parent=gene-MM_RS00225;Dbxref=GenBank:WP_011031996.1,GeneID:1478384;Name=WP_011031996.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410820.1;locus_tag=MM_RS00225;product=glycine betaine ABC transporter substrate-binding protein;protein_id=WP_011031996.1;transl_table=11	73.67619047619047	96.07142857142857	36.0	67.125	64.2247355395669	-0.0476360353458222	0.268201611411423	-0.177612785751493	0.859027082626201	0.937844280286371
